state_abbr,state_fips,state_name,vest_2020,precinct_field_2020,vest_2018,precinct_field_2018,vest_2016,precinct_field_2016,vest_2022,precinct_field_2022,vest_2024,precinct_field_2024,simplification,quantization,min_zoom,max_zoom,max_tile_bytes,big_flag,status,simplify_precincts,notes,prod_key_prefix
AK,02,Alaska,ak_2020.zip,DISTRICT:NAME,ak_2018.zip,DISTRICT,ak_2016.zip,DISTRICT,ak_gen_2022_prec.zip,UNIQUE_ID,ak_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e7,"10,4,0","14,12,8",650000,true,pending,0,,regions/US/AK/2026-04-26T11:51:52.444Z/
AL,01,Alabama,al_2020.zip,VTDST20,al_2018.zip,VTDST18,al_2016.zip,VTDST16,,,al_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2017=al_2017.zip,regions/US/AL/2026-04-26T11:53:01.301Z/
AR,05,Arkansas,ar_2020.zip,PRECINCT,ar_2018.zip,PRECINCT,ar_2016.zip,PRECINCT,,,,,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/AR/2026-04-26T11:55:46.953Z/
AZ,04,Arizona,az_2020.zip,PCTNUM:PRECINCTNA,az_2018.zip,PCTNUM,az_2016.zip,PCTNUM,,,az_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/AZ/2026-04-26T11:57:27.796Z/
CA,06,California,ca_2020.zip,SRPREC_KEY,,,ca_2016.zip,SRPREC_KEY,,,,,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/CA/2026-04-26T11:59:22.317Z/
CO,08,Colorado,co_2020.zip,PRECINCT:NAME,co_2018.zip,PRECINCT,co_2016.zip,PRECINCT,,,co_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/CO/2026-04-26T12:03:38.815Z/
CT,09,Connecticut,ct_2020.zip,NAME20,ct_2018.zip,NAME20,ct_2016.zip,NAME20,,,,,0.0000000025,1e6,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/CT/2026-04-26T12:05:53.989Z/
DC,11,District of Columbia,dc_2020.zip,GEOID:NAME,dc_2018.zip,NAME,dc_2016.zip,NAME,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/DC/2026-04-26T12:06:34.374Z/
DE,10,Delaware,de_2020.zip,PRECINCT,de_2018.zip,PRECINCT,de_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/DE/2026-04-26T12:06:52.509Z/
FL,12,Florida,fl_2020.zip,PRECINCT,fl_2018.zip,PRECINCT,fl_2016.zip,PRECINCT,,,fl_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2012=fl_2012.zip; 2014=fl_2014.zip,regions/US/FL/2026-04-26T12:07:19.468Z/
GA,13,Georgia,ga_2020.zip,CTYSOSID:PRECINCT_N,ga_2018.zip,CTYSOSID,ga_2016.zip,CTYSOSID,,,ga_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/GA/2026-04-26T12:11:06.310Z/
HI,15,Hawaii,hi_2020.zip,PRECINCT,hi_2018.zip,PRECINCT,hi_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/HI/2026-04-26T12:14:22.279Z/
IA,19,Iowa,ia_2020.zip,DISTRICT,ia_2018.zip,DISTRICT,ia_2016.zip,DISTRICT,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/IA/2026-04-26T12:14:50.603Z/
ID,16,Idaho,id_2020.zip,VTDST:NAME,id_2018.zip,VTDST,id_2016.zip,VTDST,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/ID/2026-04-26T12:16:48.241Z/
IL,17,Illinois,il_2020.zip,VTDST:NAME,il_2018.zip,VTDST,il_2016.zip,NAME,,,il_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/IL/2026-04-26T12:18:28.641Z/
IN,18,Indiana,in_2020.zip,NAME20,in_2018.zip,P18,in_2016.zip,P16,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/IN/2026-04-26T12:22:05.887Z/
KS,20,Kansas,ks_2020.zip,VTDST:NAMELSAD,ks_2018.zip,VTDST,ks_2016.zip,NAMELSAD,,,ks_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2012=ks_2012.zip,regions/US/KS/2026-04-26T12:24:15.349Z/
KY,21,Kentucky,ky_2020.zip,VTDST20:NAME20,,,ky_2016.zip,VTDST16,,,ky_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2019=ky_2019.zip,regions/US/KY/2026-04-26T12:26:08.438Z/
LA,22,Louisiana,la_2020.zip,VTDST,la_2018.zip,VTDST10,la_2016.zip,VTDST10,la_gen_2022_prec.zip,UNIQUE_ID,la_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2019=la_2019.zip; 2023=la_2023_gen_prim_pber.zip,regions/US/LA/2026-04-26T12:27:51.651Z/
MA,25,Massachusetts,ma_2020.zip,WP_NAME,ma_2018.zip,WP_NAME,ma_2016.zip,WP_NAME,,,ma_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/MA/2026-04-26T12:29:34.980Z/
MD,24,Maryland,md_2020.zip,NAME,md_2018.zip,NAME,md_2016.zip,NAME,,,md_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/MD/2026-04-26T12:31:04.911Z/
ME,23,Maine,me_2020.zip,NAME,me_2018.zip,NAME,me_2016.zip,NAME,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/ME/2026-04-26T12:32:18.179Z/
MI,26,Michigan,mi_2020.zip,PRECINCTID:PRECINCT_L,mi_2018.zip,PRECINCTID,mi_2016.zip,PRECINCTID,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/MI/2026-04-26T12:33:15.360Z/
MN,27,Minnesota,mn_2020.zip,VTDID:PCTNAME,mn_2018.zip,VTDID,mn_2016.zip,VTDID,,,mn_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/MN/2026-04-26T12:36:03.639Z/
MO,29,Missouri,mo_2020.zip,NAME,mo_2018.zip,NAME,mo_2016.zip,NAME,,,mo_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/MO/2026-04-26T01:20:21.387Z/
MS,28,Mississippi,ms_2020.zip,VTDST20:NAME20,ms_2018.zip,VTDST18,ms_2016.zip,VTDST16,,,ms_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,extra years: 2019=ms_2019.zip; 2023=ms_2023_gen_prec.zip,regions/US/MS/2026-04-26T12:38:48.314Z/
MT,30,Montana,mt_2020.zip,SOSPRECINC,mt_2018.zip,SOSPRECINC,mt_2016.zip,SOSPRECINC,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,2022 RDH file has no vote columns matching the [GPCRS]YY{office3}{party} schema (only Congress/legislature/PSC/Sup-Court/referendums),regions/US/MT/2026-04-26T12:40:31.612Z/
NC,37,North Carolina,nc_2020.zip,PREC_ID:ENR_DESC,nc_2018.zip,PREC_ID,nc_2016.zip,PREC_ID,nc_2022_gen_prec.zip,UNIQUE_ID,nc_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/NC/2026-04-26T12:42:49.978Z/
ND,38,North Dakota,nd_2020.zip,PRECINCT,nd_2018.zip,PRECINCT,nd_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/ND/2026-04-26T12:48:03.781Z/
NE,31,Nebraska,ne_2020.zip,NAME,ne_2018.zip,NAMELSAD,ne_2016.zip,NAMELSAD,,,ne_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/NE/2026-04-26T12:49:44.087Z/
NH,33,New Hampshire,nh_2020.zip,VTDST20:NAME20,nh_2018.zip,VTDST20,nh_2016.zip,VTDST20,,,nh_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/NH/2026-04-26T12:51:16.373Z/
NJ,34,New Jersey,nj_2020.zip,MUNINAME,nj_2018.zip,DISTRICT,nj_2016.zip,DISTRICT,,,,,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,extra years: 2017=nj_2017.zip,regions/US/NJ/2026-04-26T12:51:59.320Z/
NM,35,New Mexico,nm_2020.zip,VTDST:NAME,nm_2018.zip,VTDST,nm_2016.zip,VTDST,nm_2022_gen_prec.zip,UNIQUE_ID,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/NM/2026-04-26T12:53:23.607Z/
NV,32,Nevada,nv_2020.zip,NAME,nv_2018.zip,NAME,nv_2016.zip,NAME,nv_2022_gen_prec.zip,UNIQUE_ID,nv_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/NV/2026-04-26T12:55:31.205Z/
NY,36,New York,ny_2020.zip,PRECINCT,ny_2018.zip,PRECINCT,ny_2016.zip,PRECINCT,ny_2022_gen_prec.zip,UNIQUE_ID,ny_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/NY/2026-04-26T12:56:57.774Z/
OH,39,Ohio,oh_2020.zip,PRECINCT20:NAME20,oh_2018.zip,PRECINCT18,oh_2016.zip,PRECINCT16,oh_gen_2022_prec.zip,UNIQUE_ID,oh_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/OH/2026-04-26T13:00:44.732Z/
OK,40,Oklahoma,ok_2020.zip,GEOID,ok_2018.zip,PRECINCT,ok_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/OK/2026-04-26T13:03:57.584Z/
OR,41,Oregon,or_2020.zip,PRECINCT,or_2018.zip,PRECINCT,or_2016.zip,PRECINCT,,,,,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/OR/2026-04-26T13:06:18.418Z/
PA,42,Pennsylvania,pa_2020.zip,PRECINCT:NAME,pa_2018.zip,PRECINCT,pa_2016.zip,PRECINCT,,,,,0.0000000025,1e6,"11,4,0","14,12,8",650000,true,pending,0,,regions/US/PA/2026-04-26T13:08:38.575Z/
RI,44,Rhode Island,ri_2020.zip,VTDST20:NAME20,ri_2018.zip,VTDST20,ri_2016.zip,VTDST20,,,ri_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/RI/2026-04-26T13:12:36.050Z/
SC,45,South Carolina,sc_2020.zip,PCODE:NAME,sc_2018.zip,PCODE,sc_2016.zip,PCODE,sc_2022_gen_prec.zip,UNIQUE_ID,sc_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/SC/2026-04-26T13:13:20.694Z/
SD,46,South Dakota,sd_2020.zip,NAME,sd_2018.zip,NAME,sd_2016.zip,NAME,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,pending,0,,regions/US/SD/2026-04-26T13:15:41.029Z/
